,0
790,Nanao Ko_Japan
791,Nantes_France
792,Nantong_China
793,Naoetsu Ko_Japan
794,Napier_New Zealand
795,Napoli_Italy
796,Narvik_Norway
797,Nasipit Port_Philippines
798,Nassau_Bahamas
799,Natal_Brazil
800,Nauru_Nauru
801,Navlakhi_India
802,Ndora_Solomon Islands
803,Neiafu_Tonga
804,Nelson_New Zealand
805,Nemrut Limani Bay_Turkey
806,Nepoui_New Caledonia
807,New Amsterdam_Guyana
808,New Bedford_U.S.A.
809,New Haven_U.S.A.
810,New Holland_United Kingdom
811,New Mangalore_India
812,New Orleans_U.S.A.
813,New Plymouth_New Zealand
814,New Westminster_Canada
815,New York-New Jersey_U.S.A.
816,Newcastle_Australia
817,Newport_United Kingdom
818,Newport News_U.S.A.
819,Nghe Tinh_Vietnam
820,Nice_France
821,Nicholls Town_Bahamas
822,Niigata Ko_Japan
823,Niihama_Japan
824,Ningbo_China
825,Nitti_Sierra Leone
826,Norfolk_U.S.A.
827,Norrkoping_Sweden
828,North Ain Sukhna Port_Egypt
829,Noshiro Ko_Japan
830,Nouadhibou_Mauritania
831,Nouakchott_Mauritania
832,Noumea_New Caledonia
833,Novorossiysk_Russia
834,Nowshahr Port_Iran
835,Nuevitas Bay_Cuba
836,Nuku Alofa_Tonga
837,Nyborg_Denmark
838,Nynashamn_Sweden
839,Oakland_U.S.A.
840,Ocho Rios_Jamaica
841,Odda_Norway
842,Odense_Denmark
843,Odesa_Ukraine
844,Ofunato_Japan
845,Oil terminal Agioi_Greece
846,Oita Ko_Japan
847,Okaram_Turkmenistan
848,Olbia_Italy
849,Omisalj_Croatia
850,Onahama Ko_Japan
851,Onne_Nigeria
852,Onodo_Japan
853,Onomichi-Itozaki_Japan
854,Onslow_Australia
855,Oostende_Belgium
856,Oran_Algeria
857,Oranjestad_Sint Eustatius
858,Ormoc_Philippines
859,Ormos Aliveriou_Greece
860,Oro Bay_Papua New Guinea
861,Ortona_Italy
862,Osaka_Japan
863,Oskarshamn_Sweden
864,Oslo_Norway
865,Otago_New Zealand
866,Otaru Ko_Japan
867,Oulo_Finland
868,Oxelosund_Sweden
869,PLTU Semen Tonasa_Indonesia
870,Paagoumene_New Caledonia
871,Paarden Baai - (Orangestad)_Aruba
872,Pago Pago Harbor_American Samoa
873,Paita_Peru
874,Paldiski_Estonia
875,Palembang_Indonesia
876,Palm Beach_U.S.A.
877,Palmeira_Cape Verde
878,Palua_Venezuela
879,Panama City_U.S.A.
880,Pangai_Tonga
881,Panjang_Indonesia
882,Papeete_French Polynesia
883,Paradip_India
884,Paramarico_Suriname
885,Paranagua_Brazil
886,Parepare_Indonesia
887,Parnu_Estonia
888,Pascagoula_U.S.A.
889,Patrai_Greece
890,Payra_Bangladesh
891,Pelabuhan Sansakan_Malaysia
892,Pelabuhan Sungai Udang_Malaysia
893,Pelabuhan Tanjung Wangi_Indonesia
894,PelabuhanRatuCoalPowerPlant_Indonesia
895,Pelotas_Brazil
896,Pemba_Mozambique
897,Penglai_China
898,Pepillo Salcedo_Dominican Republic
899,Peterhead_United Kingdom
900,Petrapavlovsk_Russia
901,Philadelphia_U.S.A.
902,Phillipsburg_Sint Maarten
903,Phu My_Vietnam
904,Phuket_Thailand
905,Pichilingue_Mexico
906,Picton_New Zealand
907,Pipavav Bandar_India
908,Piraievs_Greece
909,Pitea_Sweden
910,Playa De Guayanilla_Puerto Rico
911,Playa De Ponce_Puerto Rico
912,Ploce_Croatia
913,Plymouth_Montserrat
914,Plymouth_United Kingdom
915,Pohang_South Korea
916,Point Fortin_Trinidad and Tobago
917,Point Lisa Port_Trinidad and Tobago
918,Point Murat_Australia
919,Point Noire_Republic of Congo
920,Point Richmond_U.S.A.
921,Pointe A Pierre_Trinidad and Tobago
922,Pointe A Pitre_Guadeloupe
923,Pomalaa_Indonesia
924,Ponta Delgada_Portugal
925,Pontianak_Indonesia
926,Poole Harbour_United Kingdom
927,Pornpei Harbor_Micronesia
928,Porsgrunn_Norway
929,Port Adelaide_Australia
930,Port Alma_Australia
931,Port Angeles_Canada
932,Port Aransas_U.S.A.
933,Port Arthur_U.S.A.
934,Port Au Prince_Haiti
935,Port Aux Basques_Canada
936,Port Bayside NB_Canada
937,Port Bonython_Australia
938,Port Cartier_Canada
939,Port D' Ajaccio_France
940,Port Dalrymple_Australia
941,Port De Aracaju_Brazil
942,Port De Caen_France
943,Port De Kribi_Cameroon
944,Port De Salvador_Brazil
945,Port Dickson_Malaysia
946,Port Dover_Canada
947,Port Elizabeth_Saint Vincent and the Grenadines
948,Port Elizabeth_South Africa
949,Port Esquivel_Jamaica
950,Port Est_Reunion
951,Port Everglades_U.S.A.
952,Port Gentil_Gabon
953,Port Giles_Australia
954,Port Harcourt_Nigeria
955,Port Hedland_Australia
956,Port Hueneme_U.S.A.
957,Port Huon_Australia
958,Port Jerome_France
959,Port Kembla_Australia
960,Port Klang_Malaysia
961,Port Kyaukpyu_Myanmar
962,Port Latta_Australia
963,Port Lavaca_U.S.A.
964,Port Lincoln_Australia
965,Port Louis_Mauritius
966,Port Lyttelton_New Zealand
967,Port Manatee_U.S.A.
968,Port Mathurin_Mauritius
969,Port Methanier_Algeria
970,Port Moresby_Papua New Guinea
971,Port Nador_Morocco
972,Port Noro_Solomon Islands
973,Port Owendo_Gabon
974,Port Pirie_Australia
975,Port Rikitea_French Polynesia
976,Port Saint Louis Du Rhone_France
977,Port Sudan_Sudan
978,Port Taman_Russia
979,Port Vale Knights_Cape Verde
980,Port Vila_Vanuatu
981,Port Walcott_Australia
982,Port de Longoni_Mayotte
983,Port of Can Tho_Vietnam
984,Port of Duqm_Oman
